state;year;population;expenditures;electricity_cap
Andhra Pradesh;1960;35378356;16.8012329346225;277602
Andhra Pradesh;1961;35896376;17.0435032216065;270638
Andhra Pradesh;1962;36553750;17.9516465478918;259470
Andhra Pradesh;1963;37250840;19.8572703326959;296851
Andhra Pradesh;1964;37962090;22.943942232896;324210
Andhra Pradesh;1965;38687820;25.2896131133778;352628
Andhra Pradesh;1966;39428340;26.4454450783371;472628
Andhra Pradesh;1967;40183976;22.9046523420181;640835
Andhra Pradesh;1968;40955064;29.7252618137772;673900
Andhra Pradesh;1969;41741944;45.8699288178816;673900
Andhra Pradesh;1970;42544970;35.9760507528857;608100
Andhra Pradesh;1971;43364490;39.7560307984713;608100
Andhra Pradesh;1972;44246744;55.3826062319975;719000
Andhra Pradesh;1973;45160150;63.3478852483882;670000
Andhra Pradesh;1974;46096644;65.4472807174423;890000
Andhra Pradesh;1975;47056924;73.0221975410037;890000
Andhra Pradesh;1976;48041730;89.8073404100976;1200000
Andhra Pradesh;1977;49051850;110.211949192538;1520000
Andhra Pradesh;1978;50088050;120.330098696196;1520000
Andhra Pradesh;1979;51151176;145.701439982533;1930000
Andhra Pradesh;1980;52242056;164.178071399028;2240000
Andhra Pradesh;1981;53361590;192.990876021498;2240000
Andhra Pradesh;1982;54512804;200.985808765221;2678000
Andhra Pradesh;1983;55693104;278.878332944057;2830000
Andhra Pradesh;1984;56902720;326.968552645638;3156000
Andhra Pradesh;1985;58142484;355.057069801146;3156000
Andhra Pradesh;1986;59413264;414.16845908348;3595000
Andhra Pradesh;1987;60715936;420.056111792463;3595000
Andhra Pradesh;1988;62051440;505.119623331868;3595000
Andhra Pradesh;1989;63420710;532.840140074118;4064000
Andhra Pradesh;1990;64824720;608.089012956786;4064000
Andhra Pradesh;1991;66264496;690.066366761471;4064000
Andhra Pradesh;1992;67231380;746.358322557115;4064000
Assam;1960;10455499;22.9544280956844;19260
Assam;1961;10781763;23.8087221913522;24726
Assam;1962;11109991;26.8497067189343;26663
Assam;1963;11446597;29.1090880547293;29365
Assam;1964;11793791;32.2542598898013;54302
Assam;1965;12151926;42.3471966501442;159537
Assam;1966;12521364;46.1052006794148;159507
Assam;1967;12902486;44.7123135804991;156675
Assam;1968;13295682;50.7457985231596;158200
Assam;1969;13701358;59.8334851187743;158200
Assam;1970;14119931;56.55126784968;179700
Assam;1971;14551839;57.277983902928;179700
Assam;1972;14882493;59.3045802205316;210000
Assam;1973;15197465;59.0822219363558;197000
Assam;1974;15519304;67.4901400217432;197000
Assam;1975;15848166;74.2861981632449;197000
Assam;1976;16184211;76.5190221506628;160000
Assam;1977;16527602;103.130508587997;172000
Assam;1978;16878506;110.602206143127;172000
Assam;1979;17237096;122.393006339351;162000
Assam;1980;17603548;143.618775033306;228000
Assam;1981;17978038;155.37290554175;333000
Assam;1982;18369424;180.658903621583;334000
Assam;1983;18771388;265.142886610196;349000
Assam;1984;19182442;302.709112843923;432000
Assam;1985;19602800;330.942518415737;432000
Assam;1986;20032686;400.07116369717;507000
Assam;1987;20472320;449.323769851194;507000
Assam;1988;20921940;469.220349546935;507000
Assam;1989;21381776;524.7365794123;537000
Assam;1990;21852080;602.528454957148;537000
Assam;1991;22333094;718.489789189084;537000
Assam;1992;22736996;694.414512805473;537000
Bihar;1960;45470924;9.44119807198112;267813
Bihar;1961;46306516;11.1085878281147;353289
Bihar;1962;47196570;10.6045841890629;50141
Bihar;1963;48112690;10.3590133912695;81474
Bihar;1964;49047980;10.4856509890927;503504
Bihar;1965;50002870;13.1212468404314;92206
Bihar;1966;50977840;18.0117478496539;139684
Bihar;1967;51973350;19.9525333656576;189487
Bihar;1968;52989890;16.048344316246;239200
Bihar;1969;54027950;24.5132380554879;239200
Bihar;1970;55088040;20.9228718248099;499100
Bihar;1971;56170696;27.865063306319;499100
Bihar;1972;57362040;36.2121012432612;603000
Bihar;1973;58599350;34.6573810119054;604000
Bihar;1974;59866810;37.7220700418145;604000
Bihar;1975;61165300;41.7377173004955;604000
Bihar;1976;62495704;41.358042786429;712000
Bihar;1977;63858960;48.0746946082429;890000
Bihar;1978;65256030;58.9646657941036;890000
Bihar;1979;66687920;68.6556125907061;890000
Bihar;1980;68155650;92.316631123025;941000
Bihar;1981;69660300;121.594365800894;940000
Bihar;1982;71156310;137.786796420444;1051000
Bihar;1983;72675600;137.683073823952;1160000
Bihar;1984;74227630;156.374385117779;1374000
Bihar;1985;75813110;196.066353167678;1374000
Bihar;1986;77432770;202.082399996797;1595000
Bihar;1987;79087340;219.882221351736;1595000
Bihar;1988;80777610;273.065766615279;1595000
Bihar;1989;82504330;299.015821351437;1549000
Bihar;1990;84268310;371.274800693167;1549000
Bihar;1991;86070370;423.620811668406;1549000
Bihar;1992;88118190;470.162857407761;1549000
Gujarat;1960;20067098;14.6707809968337;320634
Gujarat;1961;20551470;17.2055818878163;363957
Gujarat;1962;21079000;17.4012049907491;368059
Gujarat;1963;21627032;19.9888731842631;420499
Gujarat;1964;22189906;22.6409251125264;543436
Gujarat;1965;22768038;28.048090924655;648300
Gujarat;1966;23361868;32.3390235746559;658394
Gujarat;1967;23971836;33.0763150557179;664842
Gujarat;1968;24598400;35.8559906335371;661500
Gujarat;1969;25242036;63.5606414633114;661500
Gujarat;1970;25903228;49.1328725516372;906800
Gujarat;1971;26582476;45.9362777192012;906800
Gujarat;1972;27242056;77.0683387480005;973000
Gujarat;1973;27911336;82.1350866185696;954000
Gujarat;1974;28598288;86.9912212926872;1173000
Gujarat;1975;29303416;89.8461803907094;1173000
Gujarat;1976;30027244;112.194778848169;1595000
Gujarat;1977;30770296;109.719451512589;1711000
Gujarat;1978;31533128;132.165765476866;1711000
Gujarat;1979;32316308;165.012661718659;2212000
Gujarat;1980;33120412;198.717334796439;2197000
Gujarat;1981;33946056;229.52298199237;2407000
Gujarat;1982;34629350;284.556308449336;2576000
Gujarat;1983;35294710;311.01261350497;2786000
Gujarat;1984;35974690;360.292194317727;3106000
Gujarat;1985;36669656;402.084491875244;3106000
Gujarat;1986;37379980;502.608615627938;3526000
Gujarat;1987;38106044;624.648940204866;3526000
Gujarat;1988;38848230;632.214131763532;3526000
Gujarat;1989;39606960;671.7783945044;4220000
Gujarat;1990;40382636;711.506301866971;4220000
Gujarat;1991;41175690;916.722949876493;4220000
Gujarat;1992;42007936;1051.55844838461;4220000
Haryana;1966;8687534;12.2589448283023;NA
Haryana;1967;8933620;26.0140905926153;456212
Haryana;1968;9186689;31.5021004847339;33400
Haryana;1969;9446938;39.7906707972467;33400
Haryana;1970;9714574;46.064809429626;503800
Haryana;1971;9989806;51.8928996218745;503800
Haryana;1972;10245740;74.2357311428945;33000
Haryana;1973;10503690;82.7804324004231;504000
Haryana;1974;10769285;109.58944813885;557000
Haryana;1975;11042791;119.127492316028;557000
Haryana;1976;11324490;134.53144468316;617000
Haryana;1977;11614678;150.249537697042;742000
Haryana;1978;11913658;172.591826960284;742000
Haryana;1979;12221746;203.759757402911;1081000
Haryana;1980;12539277;241.058555449409;1141000
Haryana;1981;12866590;283.136402108095;1141000
Haryana;1982;13183486;322.456442855858;1213000
Haryana;1983;13504624;347.421742360246;1266000
Haryana;1984;13834153;405.713309661965;1311000
Haryana;1985;14172312;434.495091555986;1311000
Haryana;1986;14519347;465.268858165591;1553000
Haryana;1987;14875509;624.704673971156;1553000
Haryana;1988;15241058;673.608092036655;1553000
Haryana;1989;15616260;735.758754016647;1795000
Haryana;1990;16001395;809.723152262662;1795000
Haryana;1991;16396744;914.998733894973;1795000
