state;year;manufacturing_output;manufacturing_output1
Andhra Pradesh;1960;318600000;9.00550607834915
Andhra Pradesh;1961;365700000;10.1876579407347
Andhra Pradesh;1962;369700000;10.1138734056013
Andhra Pradesh;1963;467400000;12.5473680593511
Andhra Pradesh;1964;550100000;14.4907722414651
Andhra Pradesh;1965;592500000;15.3148975569055
Andhra Pradesh;1966;653100000;16.5642276595971
Andhra Pradesh;1967;578100000;14.3863315068673
Andhra Pradesh;1968;710200000;17.3409569082837
Andhra Pradesh;1969;921900000;22.0856987398574
Andhra Pradesh;1970;1038200000;24.402414668526
Andhra Pradesh;1971;1135100000;26.175794988019
Andhra Pradesh;1972;1327200000;29.9954274601539
Andhra Pradesh;1973;1705300000;37.7611677552001
Andhra Pradesh;1974;2522100000;54.7133105828702
Andhra Pradesh;1975;2801500000;59.5342781011355
Andhra Pradesh;1976;3024400000;62.9536030446864
Andhra Pradesh;1977;3322800000;67.7405643212234
Andhra Pradesh;1978;3858900000;77.0423284595827
Andhra Pradesh;1979;4521600000;88.39679463088
Andhra Pradesh;1980;4286100000;82.0430957005214
Andhra Pradesh;1981;5696200000;106.747194002278
Andhra Pradesh;1982;6687000000;122.668428503513
Andhra Pradesh;1983;7230600000;129.829359124965
Andhra Pradesh;1984;8495500000;149.298662700131
Andhra Pradesh;1985;9947800000;171.093481317379
Andhra Pradesh;1986;10626700000;178.860733859025
Andhra Pradesh;1987;12434500000;204.797962762198
Andhra Pradesh;1988;16338100000;263.299288461315
Andhra Pradesh;1989;22151300000;349.275496915755
Andhra Pradesh;1990;29251000000;451.232184265509
Andhra Pradesh;1991;34685400000;523.438675214552
Andhra Pradesh;1992;34957300000;519.955116197228
Assam;1960;310000000;29.6494696235923
Assam;1961;NA;NA
Assam;1962;NA;NA
Assam;1963;NA;NA
Assam;1964;NA;NA
Assam;1965;390000000;32.09367798981
Assam;1966;NA;NA
Assam;1967;NA;NA
Assam;1968;481000000;36.1771588700753
Assam;1969;512000000;37.3685586494419
Assam;1970;422000000;29.8868315999561
Assam;1971;424000000;29.1372107676562
Assam;1972;482000000;32.3870469819808
Assam;1973;597000000;39.2828672413458
Assam;1974;1094000000;70.492851999033
Assam;1975;1168000000;73.6993794739404
Assam;1976;1370000000;84.6504040264922
Assam;1977;1613000000;97.5943152551713
Assam;1978;1375000000;81.4645561639164
Assam;1979;1339000000;77.681298520354
Assam;1980;955400000;54.2731499354562
Assam;1981;1357500000;75.5087957873935
Assam;1982;1372100000;74.6947754050426
Assam;1983;2316100000;123.38458935482
Assam;1984;3726300000;194.255767852706
Assam;1985;4928200000;251.402860815802
Assam;1986;5642100000;281.644708053628
Assam;1987;5987200000;292.453420032512
Assam;1988;4336400000;207.26567421568
Assam;1989;8065900000;377.23246188717
Assam;1990;10508300000;480.883284337235
Assam;1991;7905300000;353.972450033121
Assam;1992;7193200000;316.365451267177
Bihar;1960;690000000;15.1745321911646
Bihar;1961;710000000;15.3326153926156
Bihar;1962;900000000;19.0691823579552
Bihar;1963;910000000;18.9139289447337
Bihar;1964;1060000000;21.6114914416455
Bihar;1965;1220000000;24.3985995203875
Bihar;1966;1430000000;28.0514042964551
Bihar;1967;1270000000;24.4356001681631
Bihar;1968;1290000000;24.3442664251615
Bihar;1969;1490000000;27.5783182593454
Bihar;1970;1618900000;29.3875040752947
Bihar;1971;1833600000;32.6433555318595
Bihar;1972;1786100000;31.1373165947376
Bihar;1973;1883600000;32.1437012526589
Bihar;1974;3382300000;56.4970807697955
Bihar;1975;4363500000;71.3394686202798
Bihar;1976;3928100000;62.8539203270676
Bihar;1977;3625500000;56.7735522156953
Bihar;1978;4846500000;74.2689985890959
Bihar;1979;4842100000;72.6083524572366
Bihar;1980;2192000000;32.1616769849602
Bihar;1981;6357600000;91.2657568227527
Bihar;1982;5695800000;80.046309315365
Bihar;1983;7940900000;109.265007788033
Bihar;1984;10429500000;140.506978331384
Bihar;1985;11005100000;145.160909504966
Bihar;1986;9972400000;128.78785041527
Bihar;1987;13734300000;173.65990561827
Bihar;1988;19664300000;243.43750700225
Bihar;1989;19996100000;242.36424924607
Bihar;1990;19941100000;236.638185813861
Bihar;1991;22970600000;266.881622560702
Bihar;1992;17618900000;199.946231305931
Gujarat;1960;1011700000;50.4158598318501
Gujarat;1961;1109700000;53.9961375025728
Gujarat;1962;1043500000;49.5042459319702
Gujarat;1963;1191500000;55.0930890563254
Gujarat;1964;1295000000;58.3598686718186
Gujarat;1965;1586900000;69.6985836021532
Gujarat;1966;1626400000;69.6177206377504
Gujarat;1967;1866400000;77.8580330684725
Gujarat;1968;1849300000;75.1796864836737
Gujarat;1969;2249800000;89.1291019472439
Gujarat;1970;2647600000;102.211199314618
Gujarat;1971;2600800000;97.8388920580611
Gujarat;1972;3424200000;125.695358676306
Gujarat;1973;4336600000;155.370563415524
Gujarat;1974;5584600000;195.277423599622
Gujarat;1975;5323700000;181.675064777431
Gujarat;1976;6374700000;212.297205830812
Gujarat;1977;7691000000;249.948846770925
Gujarat;1978;8178800000;259.371667790141
Gujarat;1979;9452000000;292.483906268006
Gujarat;1980;9895900000;298.785534431154
Gujarat;1981;10887300000;320.723562112783
Gujarat;1982;12943100000;373.760985984432
Gujarat;1983;19497200000;552.411395362081
Gujarat;1984;18029300000;501.166236595784
Gujarat;1985;22090400000;602.416341184112
Gujarat;1986;25154800000;672.948460646581
Gujarat;1987;26610300000;698.322292390152
Gujarat;1988;33451900000;861.091998271221
Gujarat;1989;35742800000;902.437349395157
Gujarat;1990;43085300000;1066.92638885683
Gujarat;1991;36746600000;892.434346576827
Gujarat;1992;67464500000;1605.9941626268
Haryana;1966;33800000;3.89063225536729
Haryana;1967;386700000;43.2859244069034
Haryana;1968;438900000;47.7756458284372
Haryana;1969;468400000;49.5822032493492
Haryana;1970;584500000;60.1673320929976
Haryana;1971;793800000;79.4610025459954
Haryana;1972;824200000;80.4431890717508
Haryana;1973;898200000;85.5128054997815
Haryana;1974;1161500000;107.853028311536
Haryana;1975;1277300000;115.668221919622
Haryana;1976;1570400000;138.672911539504
Haryana;1977;1812300000;156.035320135436
Haryana;1978;2167900000;181.96762069215
Haryana;1979;2541500000;207.949011540577
Haryana;1980;3048000000;243.07621563827
Haryana;1981;4010700000;311.714292598117
Haryana;1982;4930000000;373.952685958782
Haryana;1983;5361200000;396.989949516551
Haryana;1984;5940000000;429.372148768342
Haryana;1985;6612500000;466.578776984306
Haryana;1986;7048300000;485.441941707158
Haryana;1987;8276700000;556.397767632691
Haryana;1988;11796200000;773.975140046052
Haryana;1989;11948400000;765.125580644789
Haryana;1990;14767900000;922.913283498095
Haryana;1991;15421400000;940.515995126837
Haryana;1992;14999800000;892.829188427684
Jammu & Kashmir;1960;10700000;NA
Jammu & Kashmir;1961;12900000;3.62821204874376
Jammu & Kashmir;1962;15000000;4.12256835458815
Jammu & Kashmir;1963;13700000;3.66912156342073
Jammu & Kashmir;1964;25600000;6.68090970502609
Jammu & Kashmir;1965;25700000;6.53539673863359
Jammu & Kashmir;1966;18400000;4.55920198107237
Jammu & Kashmir;1967;31200000;7.5326306861629
Jammu & Kashmir;1968;24100000;5.66916294103471
Jammu & Kashmir;1969;25900000;5.93608645508835
Jammu & Kashmir;1970;20900000;4.66695784910854
Jammu & Kashmir;1971;29500000;6.41778706000087
Jammu & Kashmir;1972;39200000;8.31024695849201
Jammu & Kashmir;1973;55800000;11.5273953819147
Jammu & Kashmir;1974;70500000;14.1918553646622
Jammu & Kashmir;1975;73000000;14.3189027562122
Jammu & Kashmir;1976;88500000;16.9141661492875
Jammu & Kashmir;1977;110100000;20.5021060746567
Jammu & Kashmir;1978;168100000;30.4976311722438
Jammu & Kashmir;1979;172600000;30.5077004546814
Jammu & Kashmir;1980;140900000;24.2623571852911
Jammu & Kashmir;1981;176100000;29.5404794733508
Jammu & Kashmir;1982;356600000;58.3209296415062
